"subject_identifier" "activity" "feature_measurement_name" "measurement_total_average"
1 "WALKING" "tBodyAcc-mean()-X" 0.265696920582133
1 "WALKING" "tBodyAcc-mean()-Y" -0.0182981725176081
1 "WALKING" "tBodyAcc-mean()-Z" -0.10784573454611
1 "WALKING" "tBodyAcc-std()-X" -0.545795331328326
1 "WALKING" "tBodyAcc-std()-Y" -0.367716218227378
1 "WALKING" "tBodyAcc-std()-Z" -0.502645746562824
1 "WALKING" "tGravityAcc-mean()-X" 0.744867411573487
1 "WALKING" "tGravityAcc-mean()-Y" -0.0825562579855908
1 "WALKING" "tGravityAcc-mean()-Z" 0.072339870389049
1 "WALKING" "tGravityAcc-std()-X" -0.959859435936599
1 "WALKING" "tGravityAcc-std()-Y" -0.951150627458213
1 "WALKING" "tGravityAcc-std()-Z" -0.925817590867435
1 "WALKING" "tBodyAccJerk-mean()-X" 0.0770930495126801
1 "WALKING" "tBodyAccJerk-mean()-Y" 0.0165908438802305
1 "WALKING" "tBodyAccJerk-mean()-Z" -0.00910758730117003
1 "WALKING" "tBodyAccJerk-std()-X" -0.524721922818732
1 "WALKING" "tBodyAccJerk-std()-Y" -0.470412403511239
1 "WALKING" "tBodyAccJerk-std()-Z" -0.717322274881844
1 "WALKING" "tBodyGyro-mean()-X" -0.0208764064320173
1 "WALKING" "tBodyGyro-mean()-Y" -0.0880722729400576
1 "WALKING" "tBodyGyro-mean()-Z" 0.0862641666597983
1 "WALKING" "tBodyGyro-std()-X" -0.686555715201729
1 "WALKING" "tBodyGyro-std()-Y" -0.450979810499568
1 "WALKING" "tBodyGyro-std()-Z" -0.597496136795101
1 "WALKING" "tBodyGyroJerk-mean()-X" -0.0971120197265994
1 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0417164808293948
1 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0471393985477522
1 "WALKING" "tBodyGyroJerk-std()-X" -0.637812687210375
1 "WALKING" "tBodyGyroJerk-std()-Y" -0.634472244550432
1 "WALKING" "tBodyGyroJerk-std()-Z" -0.664591977786455
1 "WALKING" "tBodyAccMag-mean()" -0.453632943768818
1 "WALKING" "tBodyAccMag-std()" -0.497096402038329
1 "WALKING" "tGravityAccMag-mean()" -0.453632943768818
1 "WALKING" "tGravityAccMag-std()" -0.497096402038329
1 "WALKING" "tBodyAccJerkMag-mean()" -0.545431612066571
1 "WALKING" "tBodyAccJerkMag-std()" -0.515922167555159
1 "WALKING" "tBodyGyroMag-mean()" -0.475404785802305
1 "WALKING" "tBodyGyroMag-std()" -0.499839593745821
1 "WALKING" "tBodyGyroJerkMag-mean()" -0.639517432642651
1 "WALKING" "tBodyGyroJerkMag-std()" -0.652050770910663
1 "WALKING" "fBodyAcc-mean()-X" -0.531895161258213
1 "WALKING" "fBodyAcc-mean()-Y" -0.406435448904438
1 "WALKING" "fBodyAcc-mean()-Z" -0.596411165253602
1 "WALKING" "fBodyAcc-std()-X" -0.553060616663401
1 "WALKING" "fBodyAcc-std()-Y" -0.390150939647061
1 "WALKING" "fBodyAcc-std()-Z" -0.498583091676081
1 "WALKING" "fBodyAccJerk-mean()-X" -0.547348892435764
1 "WALKING" "fBodyAccJerk-mean()-Y" -0.507343617969859
1 "WALKING" "fBodyAccJerk-mean()-Z" -0.695305113832853
1 "WALKING" "fBodyAccJerk-std()-X" -0.543979776127867
1 "WALKING" "fBodyAccJerk-std()-Y" -0.466251676533372
1 "WALKING" "fBodyAccJerk-std()-Z" -0.737861932680115
1 "WALKING" "fBodyGyro-mean()-X" -0.623219182311527
1 "WALKING" "fBodyGyro-mean()-Y" -0.505309434070029
1 "WALKING" "fBodyGyro-mean()-Z" -0.553529065425648
1 "WALKING" "fBodyGyro-std()-X" -0.708263420861671
1 "WALKING" "fBodyGyro-std()-Y" -0.429825832648703
1 "WALKING" "fBodyGyro-std()-Z" -0.650476162132565
1 "WALKING" "fBodyAccMag-mean()" -0.478448523354179
1 "WALKING" "fBodyAccMag-std()" -0.589710231217867
1 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.499075765624092
1 "WALKING" "fBodyBodyAccJerkMag-std()" -0.541823079570029
1 "WALKING" "fBodyBodyGyroMag-mean()" -0.535002770337752
1 "WALKING" "fBodyBodyGyroMag-std()" -0.566576670397695
1 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.645970655298847
1 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.685811262634006
2 "WALKING" "tBodyAcc-mean()-X" 0.273113115788079
2 "WALKING" "tBodyAcc-mean()-Y" -0.0191323183174834
2 "WALKING" "tBodyAcc-mean()-Z" -0.115649958175497
2 "WALKING" "tBodyAcc-std()-X" -0.605586497159271
2 "WALKING" "tBodyAcc-std()-Y" -0.428962986589404
2 "WALKING" "tBodyAcc-std()-Z" -0.589360062210596
2 "WALKING" "tGravityAcc-mean()-X" 0.660782866688742
2 "WALKING" "tGravityAcc-mean()-Y" -0.147219886910411
2 "WALKING" "tGravityAcc-mean()-Z" 0.134865335090728
2 "WALKING" "tGravityAcc-std()-X" -0.963015508245033
2 "WALKING" "tGravityAcc-std()-Y" -0.960033560165563
2 "WALKING" "tGravityAcc-std()-Z" -0.945365383907285
2 "WALKING" "tBodyAccJerk-mean()-X" 0.0785353156747351
2 "WALKING" "tBodyAccJerk-mean()-Y" 0.00708771249764901
2 "WALKING" "tBodyAccJerk-mean()-Z" 0.000755760748377483
2 "WALKING" "tBodyAccJerk-std()-X" -0.557809603123841
2 "WALKING" "tBodyAccJerk-std()-Y" -0.491875889831788
2 "WALKING" "tBodyAccJerk-std()-Z" -0.741885388311258
2 "WALKING" "tBodyGyro-mean()-X" -0.0517030657821192
2 "WALKING" "tBodyGyro-mean()-Y" -0.0568420186817881
2 "WALKING" "tBodyGyro-mean()-Z" 0.0872599422291391
2 "WALKING" "tBodyGyro-std()-X" -0.710648927815894
2 "WALKING" "tBodyGyro-std()-Y" -0.722943674337748
2 "WALKING" "tBodyGyro-std()-Z" -0.634888927843046
2 "WALKING" "tBodyGyroJerk-mean()-X" -0.0875587491668874
2 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0433986835453642
2 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0557541828188742
2 "WALKING" "tBodyGyroJerk-std()-X" -0.671679103311258
2 "WALKING" "tBodyGyroJerk-std()-Y" -0.783595466728477
2 "WALKING" "tBodyGyroJerk-std()-Z" -0.674611933293046
2 "WALKING" "tBodyAccMag-mean()" -0.535281800541722
2 "WALKING" "tBodyAccMag-std()" -0.552812545643709
2 "WALKING" "tGravityAccMag-mean()" -0.535281800541722
2 "WALKING" "tGravityAccMag-std()" -0.552812545643709
2 "WALKING" "tBodyAccJerkMag-mean()" -0.58777744543543
2 "WALKING" "tBodyAccJerkMag-std()" -0.512115278415232
2 "WALKING" "tBodyGyroMag-mean()" -0.614771054893146
2 "WALKING" "tBodyGyroMag-std()" -0.680584887880795
2 "WALKING" "tBodyGyroJerkMag-mean()" -0.746559539039735
2 "WALKING" "tBodyGyroJerkMag-std()" -0.740088733655629
2 "WALKING" "fBodyAcc-mean()-X" -0.57377091142947
2 "WALKING" "fBodyAcc-mean()-Y" -0.432566581302351
2 "WALKING" "fBodyAcc-mean()-Z" -0.630081222124834
2 "WALKING" "fBodyAcc-std()-X" -0.619788102803311
2 "WALKING" "fBodyAcc-std()-Y" -0.464723862913245
2 "WALKING" "fBodyAcc-std()-Z" -0.600678614835099
2 "WALKING" "fBodyAccJerk-mean()-X" -0.561682049622185
2 "WALKING" "fBodyAccJerk-mean()-Y" -0.50890379901457
2 "WALKING" "fBodyAccJerk-mean()-Z" -0.715745330403973
2 "WALKING" "fBodyAccJerk-std()-X" -0.595105612895033
2 "WALKING" "fBodyAccJerk-std()-Y" -0.509147543673841
2 "WALKING" "fBodyAccJerk-std()-Z" -0.767087015496689
2 "WALKING" "fBodyGyro-mean()-X" -0.638717694593046
2 "WALKING" "fBodyGyro-mean()-Y" -0.722068978635762
2 "WALKING" "fBodyGyro-mean()-Z" -0.601594889654305
2 "WALKING" "fBodyGyro-std()-X" -0.734588540182119
2 "WALKING" "fBodyGyro-std()-Y" -0.72716774102649
2 "WALKING" "fBodyGyro-std()-Z" -0.683114494539735
2 "WALKING" "fBodyAccMag-mean()" -0.514569861316887
2 "WALKING" "fBodyAccMag-std()" -0.646662308457285
2 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.509746432970861
2 "WALKING" "fBodyBodyAccJerkMag-std()" -0.518800797709272
2 "WALKING" "fBodyBodyGyroMag-mean()" -0.699742945221854
2 "WALKING" "fBodyBodyGyroMag-std()" -0.725310337688742
2 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.751615078360927
2 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.744194981440397
3 "WALKING" "tBodyAcc-mean()-X" 0.273428719636364
